新二级类型标签	行政区	派出所	具体位置描述	楼栋编码
住宅	宝安	黄田所	领秀花园E栋	4403030010070200003
住宅	罗湖	口岸所	龙兴大厦	4403030020010200012
住宅	罗湖	口岸所	爵士大厦	4403030020020200004
住宅	罗湖	口岸所	城市天地广场A座	4403030020110100003
住宅	罗湖	口岸所	港逸豪庭	4403030020130200002
住宅	罗湖	口岸所	幸福万象	4403030020130300028
住宅	罗湖	口岸所	渔民村11栋	4403030020130400001
住宅	罗湖	桂园所	华瑞大厦A座(南座)	4403030030010400016
住宅	罗湖	桂园所	信兴广场	4403030030040600002
住宅	罗湖	桂园所	老围花园E2	4403030030090300005
住宅	罗湖	桂园所	名仕阁	4403030030090400007
公寓	罗湖	桂园所	龙园创展	4403030030100200002
住宅	罗湖	桂园所	供电南苑2栋	4403030030100300002
住宅	罗湖	桂园所	嘉宾花园A座	4403030030100300008
住宅	罗湖	桂园所	幸福里1栋	4403030030100500001
住宅	罗湖	桂园所	都市名园B栋	4403030030120200001
住宅	罗湖	桂园所	丽晶大厦	4403030030120300001
住宅	福田	南园所	红岭大厦1、2栋	4403040020050100001
商业办公	福田	南园所	万德大厦（深南中路1019号）	4403040020050200003
住宅	福田	南园所	佳兆业中心A、B座	4403040020080100002
商业办公	福田	南园所	统建楼办公楼1栋、2栋、3栋、4栋	4403040020090100001
住宅	福田	南园所	统建楼商住楼丁栋、丙栋、乙栋、甲栋	4403040020100100001
住宅	福田	南园所	飞扬时代大厦A、B座	4403040020100100009
住宅	福田	南园所	石油大厦	4403040020100200008
住宅	福田	南园所	中电大院怡静苑	4403040020100200010
住宅	福田	南园所	赛格苑B、C栋	4403040020100200014
住宅	福田	南园所	五邑大厦	4403040020100200024
住宅	福田	福田所	金中环商务大厦	4403040030011700002
住宅	福田	福田所	中海华庭华景台1座、2座	4403040030011900001
住宅	福田	福田所	中海华庭华景台2座	4403040030011900002
住宅	福田	福田所	中海华庭华景峰1/2座	4403040030011900004
住宅	福田	福田所	中海华庭华景峰1座	4403040030011900005
住宅	福田	福田所	中海华庭华景轩2座	4403040030011900008
住宅	福田	福田所	星河国际花园B1栋（福华三路269号）	4403040030012200001
住宅	福田	福田所	佳兆业佳园A栋（中心二路1号）	4403040030012600018
住宅	福田	福田所	佳兆业佳园B栋（中心二路1号）	4403040030012600019
住宅	福田	福田所	华强花园B栋	4403040030030100004
住宅	福田	福田所	华强花园D栋	4403040030030100027
住宅	福田	福田所	大中华东方新天地D栋	4403040030080200001
商业办公	福田	福田所	星河世纪大厦A栋	4403040030080300001
住宅	福田	福田所	嘉麟豪庭C座	4403040030080400001
住宅	福田	福田所	天元·花园1栋（T1）	4403040030080400004
商业办公	福田	福田所	福田大厦	4403040030130200003
商业办公	福田	福田所	国际文化大厦	4403040030130400001
商业办公	福田	福田所	南光捷佳大厦	4403040030130400002
住宅	福田	沙头所	鸿景湾名苑A栋	4403040040020400004
住宅	福田	天安所	地铁西区公寓	4403040040030200002
住宅	福田	天安所	地铁人才公寓	4403040040030200026
住宅	福田	沙头所	韵动家园AB栋	4403040040040300001
住宅	福田	沙头所	金地名轩	4403040040040600010
住宅	福田	福保所	宏欣豪园	4403040040050100006
住宅	福田	福保所	南方国际广场	4403040040050400004
住宅	福田	沙头所	红树湾壹号C座	4403040040070100001
住宅	福田	沙头所	上沙椰树村12-2	4403040040080200007
住宅	福田	沙头所	上沙椰树村11-2	4403040040080200015
住宅	福田	沙头所	上沙中心路18号中洲滨海华府CD栋	4403040040080400020
住宅	福田	沙头所	中洲湾迎海1栋	4403040040080800100
住宅	福田	沙头所	惠发花园C栋（上沙椰树村16-3）	4403040040081100043
住宅	福田	沙头所	滨河大道9283号中洲滨海商业中心A栋	4403040040081100047
住宅	福田	天安所	都市阳光名苑	4403040040100500002
商业办公	福田	天安所	杭钢富春商务大厦	4403040040100700002
住宅	福田	天安所	天安高尔夫花园翠景阁	4403040040101000002
住宅	福田	天安所	天安高尔夫花园珑园6栋	4403040040101000006
住宅	福田	天安所	天安高尔夫花园珑园5栋	4403040040101000007
商业办公	福田	天安所	安华工业区9栋A单元、8栋、7栋	4403040040102200010
住宅	福田	天安所	天安高尔夫花园珑园2栋	4403040040102800001
住宅	福田	天安所	天安高尔夫花园珑园1栋A座	4403040040102800002
住宅	福田	天安所	天安高尔夫花园美景阁	4403040040102800004
住宅	福田	天安所	天安高尔夫花园豪景阁	4403040040102800006
住宅	福田	天安所	永泰公寓	4403040040103000001
住宅	福田	天安所	久泰公寓	4403040040103000002
住宅	福田	天安所	昌泰公寓	4403040040103000004
住宅	福田	天安所	广泰公寓	4403040040103000005
住宅	福田	天安所	顺泰公寓	4403040040103000006
住宅	福田	沙头所	嘉洲豪园1栋	4403040040120100001
住宅	福田	沙头所	沙尾机楼	4403040040120300002
住宅	福田	沙头所	香江西苑AB座	4403040040120800010
住宅	福田	天安所	新光大厦	4403040040130400023
住宅	福田	天安所	新沙路8号国都高尔夫花园2期	4403040040130400025
住宅	福田	天安所	君临天下A座	4403040040130600017
住宅	福田	天安所	富通九曜公馆2栋	4403040040130700043
住宅	福田	天安所	嘉洲华苑2栋	4403040040130800011
住宅	福田	天安所	嘉洲华苑1栋	4403040040130800012
住宅	福田	天安所	新沙路13号安居望湖轩	4403040040130800026
住宅	福田	沙头所	新洲大厦B栋	4403040040140100005
住宅	福田	沙头所	朗晴馨洲	4403040040140200001
住宅	福田	沙头所	嘉洲富苑C座	4403040040140400110
住宅	福田	沙头所	嘉葆润C座嘉悦轩	4403040040140600044
住宅	福田	沙头所	星河雅居	4403040040140700004
住宅	福田	沙头所	骏皇嘉园	4403040040140700005
住宅	福田	沙头所	绿景新苑3栋	4403040040140700028
住宅	福田	沙头所	京基滨河时代住宅D3栋	4403040040150100001
住宅	福田	梅林所	梅林街道莲塘尾五路万泽云顶2号5栋	4403040058010100002
住宅	福田	梅林所	梅林街道莲塘尾五路万泽云顶2号3栋	4403040058010100003
住宅	福田	梅林所	梅林街道莲塘尾3路6号山语清晖4栋	4403040058010100046
住宅	福田	梅林所	梅林街道莲塘尾3路6号山语清晖5栋	4403040058010100047
住宅	福田	梅林所	梅林街道莲塘尾3路6号山语清晖6栋	4403040058010100048
商业办公	福田	华富所	中铁建深圳地铁17号线总承包项目联合指挥部	44030400600102T0198
商业办公	福田	华强北所	深南中路3018号都会轩	4403040060021100009
住宅	福田	华富所	莲花一村21栋	4403040060050500005
住宅	福田	华富所	莲花一村28栋	4403040060050500007
住宅	福田	华富所	莲花一村24栋	4403040060050500008
住宅	福田	华富所	莲花一村18栋	4403040060050500012
住宅	福田	华富所	莲花一村17栋	4403040060050500013
住宅	福田	华富所	莲花一村48栋	4403040060050500015
住宅	福田	华富所	莲华一村16栋	4403040060050500017
住宅	福田	华富所	莲花一村14栋	4403040060050500019
住宅	福田	华富所	莲花一村13栋	4403040060050500021
住宅	福田	华富所	莲花一村12栋	4403040060050500023
住宅	福田	华富所	莲花一村10栋	4403040060050500024
住宅	福田	华富所	莲花一村9栋	4403040060050500025
住宅	福田	华富所	莲花一村7栋	4403040060050500027
住宅	福田	华富所	莲花一村8栋	4403040060050500028
住宅	福田	华富所	莲花一村30栋	4403040060050500030
住宅	福田	华富所	莲花一村34栋	4403040060050500036
住宅	福田	华富所	莲花一村36栋	4403040060050500041
住宅	福田	华富所	莲花一村40栋	4403040060050500043
住宅	福田	华富所	莲花一村6栋	4403040060050500052
住宅	福田	华富所	莲花一村3栋	4403040060050500054
住宅	福田	华富所	莲花一村4栋	4403040060050500055
住宅	福田	华富所	田面花园1栋	4403040060090600014
住宅	福田	华富所	城市绿洲花园1栋	4403040060090700001
住宅	福田	香蜜湖所	香荔绿洲2栋	4403040070010100005
住宅	福田	香蜜湖所	香荔绿洲3栋	4403040070010100006
住宅	福田	香蜜湖所	香荔绿洲4栋	4403040070010100009
住宅	福田	香蜜湖所	香荔绿洲5栋	4403040070010100010
住宅	福田	香蜜湖所	东海十八居	4403040070010200006
住宅	福田	香蜜湖所	深业中城2栋	4403040070010200011
住宅	福田	香蜜湖所	深业中城1栋	4403040070010200015
公寓	福田	香蜜湖所	深业中城6B	4403040070010300007
住宅	福田	香蜜湖所	天御香山8号楼	4403040070010500006
住宅	福田	香蜜湖所	天御香山6号楼	4403040070010500010
住宅	福田	香蜜湖所	东海花园二期12栋	4403040070010700007
住宅	福田	香蜜湖所	东海花园二期13栋	4403040070010700010
